id,TRUE,predict,AE,MAE
3408,1.753806114,1.57028532,0.183520794,0.261
1927,1.973072529,1.828431726,0.144640803,
1272,1.889791012,1.901797056,0.012006044,
1098,3.259410381,3.188817978,0.070592403,
4210,1,1.50115943,0.50115943,
1342,2.492757082,2.318662167,0.174094915,
3769,2.05706954,2.11988163,0.06281209,
359,2.662319422,2.425181389,0.237138033,
2971,2.077306509,2.081886768,0.004580259,
185,1.849595308,1.716569662,0.133025646,
4565,1.39445734,1.547129154,0.152671814,
2843,1.231665492,1.681638002,0.44997251,
3187,1.647688031,1.635534048,0.012153983,
1769,2.318250179,2.421664238,0.103414059,
3963,2.007673979,2.041884184,0.034210205,
4721,2.181369543,2.17995429,0.001415253,
337,2.395379066,2.136128187,0.259250879,
387,1.998820066,2.187266111,0.188446045,
537,1.985815048,1.938761234,0.047053814,
3986,2.822298527,2.661228895,0.161069632,
4543,1.492060423,1.427774906,0.064285517,
3964,2.724320173,2.838377953,0.114057779,
1266,2.153128147,2.26261425,0.109486103,
3271,2.912058353,2.848038673,0.06401968,
4348,1.676219106,1.723330021,0.047110915,
771,2.307668447,2.250223875,0.057444572,
1959,2.004307985,2.156918526,0.15261054,
552,1.830871224,1.932437778,0.101566553,
572,1.394034863,1.419643044,0.025608182,
2,1.867857575,2.031928539,0.164070964,
4237,5.667688847,4.892541409,0.775147438,
1259,3.086853743,2.725462437,0.361391306,
1159,2.257004499,2.27575922,0.018754721,
908,1.90800035,1.922520518,0.014520168,
4106,2.569205284,2.955308914,0.38610363,
4392,1.736087561,1.984470487,0.248382926,
2591,2.486886978,2.423097134,0.063789845,
425,1.513151884,1.569766283,0.056614399,
1309,1.873245358,1.81224072,0.061004639,
114,2.314657927,2.281445026,0.0332129,
498,1.506329775,1.725525379,0.219195604,
3195,2.881865025,7.146316528,4.264451504,
4032,1.533731818,1.826033354,0.292301536,
1278,1.362106204,1.491784334,0.12967813,
843,1.742572188,1.944770694,0.202198505,
1492,1.472299814,1.43477273,0.037527084,
1036,2.819181204,2.770836353,0.048344851,
656,1.386602521,1.473093271,0.08649075,
3180,1.969594598,1.961180091,0.008414507,
4559,3.191708088,3.492390156,0.300682068,
3573,2.032036066,2.118117332,0.086081266,
2048,2.705981016,2.549882174,0.156098843,
3458,1.540306807,1.537953138,0.002353668,
1426,1,11.10827827,10.10827827,
4401,2.800014734,2.572377443,0.227637291,
4396,1.435652256,1.518153071,0.082500815,
3173,2.021210909,2.044548988,0.023338079,
2314,2.166280031,1.890356779,0.275923252,
2215,1.365921855,1.431205869,0.065284014,
386,3.113321304,2.829719305,0.283601999,
2701,1.529521346,1.696442008,0.166920662,
155,1.588997006,1.528118253,0.060878754,
3433,2.105547667,2.088516712,0.017030954,
845,1.90109086,2.065398693,0.164307833,
105,2.158277512,2.73206377,0.573786259,
4544,2.148762941,2.389132738,0.240369797,
1454,2.178601742,2.251658678,0.073056936,
2882,1.39797473,1.318456888,0.079517841,
2637,2.159644127,2.087564707,0.07207942,
4216,2.287999153,2.188350439,0.099648714,
3171,1.544278383,1.641296387,0.097018003,
4070,3.183185101,2.012080669,1.171104431,
3632,2.798034906,2.330253601,0.467781305,
977,2.291842222,2.755997658,0.464155436,
3417,2.537549496,2.554820538,0.017271042,
2961,2.240718365,1.838193893,0.402524471,
727,1.852095842,1.606611729,0.245484114,
474,1.539747953,1.506021261,0.033726692,
2078,1.631665826,1.494420171,0.137245655,
2491,1.403448105,1.38171339,0.021734715,
3145,2.764218807,2.884874582,0.120655775,
1976,1.638151884,1.594378471,0.043773413,
4436,1.556170464,1.689160585,0.132990122,
4526,1.861182451,2.131817818,0.270635366,
4342,1.946547151,1.895245552,0.051301599,
3778,2.299453735,2.43832469,0.138870955,
1352,1.615343094,1.911666393,0.296323299,
1990,1.578195333,1.714548588,0.136353254,
4489,2.143819332,2.76920414,0.625384808,
3016,1.779181361,1.987750053,0.208568692,
4266,2.146927834,2.226989031,0.080061197,
512,1.656053662,1.632628083,0.023425579,
3712,1.987544537,2.131128311,0.143583775,
793,1.663290739,1.663847327,0.000556588,
3376,5.150436878,3.344868183,1.805568695,
4646,2.416115999,4.4546175,2.038501501,
642,2.090681791,2.324322701,0.233640909,
1612,1.823417544,1.689453721,0.133963823,
1397,1.912764192,2.105498791,0.192734599,
4233,2.452772141,2.891387701,0.438615561,
3364,3.243791103,2.62024188,0.623549223,
4403,1.856230497,1.824418545,0.031811953,
3939,1.999063253,2.416281462,0.417218208,
1190,2.467517138,2.762336493,0.294819355,
2350,1.727618456,1.801735401,0.074116945,
658,2.657618761,2.575350523,0.082268238,
3392,1.331790805,1.246440172,0.085350633,
2871,1.92012012,2.023783207,0.103663087,
1477,2.396396399,2.606064081,0.209667683,
1331,2.4295187,2.159581423,0.269937277,
3594,3.123139381,3.127203465,0.004064083,
707,2.503138781,2.404661179,0.098477602,
292,3.774034023,3.957542896,0.183508873,
2178,2.099525928,2.024252653,0.075273275,
3998,6.777898312,6.10207653,0.675821781,
102,2.677106142,2.783529282,0.10642314,
3188,3.137276411,3.230065823,0.092789412,
411,1.476143599,1.529225588,0.053081989,
3476,1.95815146,2.700547457,0.742395997,
1470,3.485589266,3.611512423,0.125923157,
3678,1.809051275,1.759905338,0.049145937,
1010,4.035839558,4.064891815,0.029052258,
2487,33.46723557,3.827769279,29.63946629,
2252,3.230638027,2.940797806,0.289840221,
2509,1.446401715,1.587742686,0.141340971,
1949,27.65488815,2.516523123,25.13836503,
1359,1.397736311,1.502356768,0.104620457,
1774,3.055161238,2.842649937,0.212511301,
312,1.964022279,1.90970099,0.054321289,
3626,2.210990906,2.556077242,0.345086336,
1114,2.73540473,2.599968433,0.135436296,
2388,1.518531799,1.389071226,0.129460573,
717,2.538092613,2.682753086,0.144660473,
2939,16.34526253,4.577906609,11.76735592,
1065,2.139403343,2.132457733,0.00694561,
2791,1.704961538,1.610418081,0.094543457,
2661,2.226853132,2.296367884,0.069514751,
201,3.859015465,2.493895531,1.365119934,
4640,1.487532377,1.41815269,0.069379687,
4182,2.096968889,2.13214159,0.035172701,
2565,1.793517828,1.65741086,0.136106968,
352,4.076027393,3.93401289,0.142014503,
428,2.572453499,2.291864157,0.280589342,
48,1.820935607,2.960827827,1.13989222,
740,1.484222412,1.566653371,0.082430959,
783,3.970222473,2.986721516,0.983500957,
4618,1.779332757,2.089819431,0.310486674,
1279,4.723656654,5.242324352,0.518667698,
3774,1.886211872,1.829184532,0.05702734,
2019,2.007512093,1.47867167,0.528840423,
4351,2.171032429,2.258258104,0.087225676,
3796,3.189110279,2.984066486,0.205043793,
4432,1.59405148,1.631925106,0.037873626,
4129,2.23701787,2.616517782,0.379499912,
4075,1.946792245,2.031208277,0.084416032,
1875,2.150406361,2.290435076,0.140028715,
1599,1.677859783,1.798398256,0.120538473,
2908,1.560114861,1.5461694,0.01394546,
4225,2.375244141,2.588827133,0.213582993,
488,2.585792303,3.349228382,0.763436079,
43,4.168144226,3.451175213,0.716969013,
1199,2.112811804,2.118188143,0.005376339,
